what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1555895312926
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1555895312927
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1555895312927
os,sysinfo,,,"macosx",1555895312930
arch,sysinfo,,,"x86_64",1555895312930
ws,sysinfo,,,"cocoa",1555895312930
locale,sysinfo,,,"en_US",1555895312930
processors,sysinfo,,,"4",1555895312930
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1555895312930
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468",1555895312930
java.specification.name,sysinfo,,,"Java Platform API Specification",1555895312930
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555895312930
java.specification.version,sysinfo,,,"1.6",1555895312930
java.vendor,sysinfo,,,"Apple Inc.",1555895312930
java.version,sysinfo,,,"1.6.0_65",1555895312930
java.vm.info,sysinfo,,,"mixed mode",1555895312930
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1555895312930
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1555895312930
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555895312930
java.vm.specification.version,sysinfo,,,"1.0",1555895312930
java.vm.vendor,sysinfo,,,"Apple Inc.",1555895312930
java.vm.version,sysinfo,,,"20.65-b04-468",1555895312930
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1555895313306
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1555895319642
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1555895319666
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1555895319674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895334514
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1555895342785
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1555895342961
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1555895349100
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1555895349109
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1555895385958
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1555895386042
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1555895387479
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555895387505
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555895387535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895440541
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555895440554
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555895453980
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1555895454019
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1555895460709
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1555895466046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895501168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895501228
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1555895502893
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1555895502903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895502955
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1555895502994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1555895502994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895509513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895535094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895535153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895537387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895811386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895815357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1555895815393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895818460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895820201
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555895820288
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1555895820531
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1555895820532
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1555895820534
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1555895820535
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1555895820536
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1555895820537
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1555895820537
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1555895820538
